"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","240","test_bearer_token_grants_access_to_profile","tests","Wed Aug 19 17:12:09 UTC 2026","passed","Wed Aug 19 17:12:09 UTC 2026","","test_auth","",""
"","121","test_create_user","tests","Wed Aug 19 17:12:10 UTC 2026","passed","Wed Aug 19 17:12:10 UTC 2026","","test_users","",""
"","117","test_get_missing_user_returns_404","tests","Wed Aug 19 17:12:09 UTC 2026","passed","Wed Aug 19 17:12:09 UTC 2026","","test_users","",""
"","207","test_login_success","tests","Wed Aug 19 17:12:08 UTC 2026","passed","Wed Aug 19 17:12:09 UTC 2026","","test_auth","",""
"","118","test_login_failure[nosuchuser-whatever-unknown-user]","tests","Wed Aug 19 17:12:09 UTC 2026","passed","Wed Aug 19 17:12:09 UTC 2026","","test_auth","",""
"","127","test_list_users_pagination","tests","Wed Aug 19 17:12:09 UTC 2026","passed","Wed Aug 19 17:12:10 UTC 2026","","test_users","",""
"","117","test_login_failure[--empty-credentials]","tests","Wed Aug 19 17:12:09 UTC 2026","passed","Wed Aug 19 17:12:09 UTC 2026","","test_auth","",""
"","119","test_get_existing_user","tests","Wed Aug 19 17:12:09 UTC 2026","passed","Wed Aug 19 17:12:09 UTC 2026","","test_users","",""
"","118","test_delete_user","tests","Wed Aug 19 17:12:10 UTC 2026","passed","Wed Aug 19 17:12:10 UTC 2026","","test_users","",""
"","117","test_login_failure[emilys-wrong-password-wrong-password]","tests","Wed Aug 19 17:12:09 UTC 2026","passed","Wed Aug 19 17:12:09 UTC 2026","","test_auth","",""
"","122","test_update_user","tests","Wed Aug 19 17:12:10 UTC 2026","passed","Wed Aug 19 17:12:10 UTC 2026","","test_users","",""
