"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Auth","5","0","Login","0"
"0","","0","Users","2","0","Get user","0"
"0","","0","Users","1","0","List users","0"
"0","","0","Users","3","0","CRUD","0"
